date,state,daily,blood_a,blood_b,blood_ab,blood_o,donations_new,donations_regular,donations_irregular,spike_flag,is_holiday,is_weekend,days_to_holiday,regular_ratio,7dayave_regular,30dayave_new,predicted_daily
2025-01-01,Johor,169,49,45,6,69,19,122,28,none,0,0,28.0,0.72,90.14,28.57,77.76804
2025-01-02,Johor,96,19,20,4,53,3,75,18,none,0,0,27.0,0.77,91.0,28.67,65.16835
2025-01-03,Johor,48,13,9,4,22,6,34,8,none,0,0,26.0,0.69,93.71,27.3,87.388664
2025-01-04,Johor,101,27,21,6,47,25,59,17,none,0,1,25.0,0.58,95.43,26.8,183.39612
2025-01-05,Johor,321,79,78,24,140,79,184,58,normal_spike,0,1,24.0,0.57,89.0,25.33,173.20747
2025-01-06,Johor,95,21,32,2,40,22,49,24,none,0,0,23.0,0.51,87.57,27.9,109.517975
2025-01-07,Johor,71,19,13,5,34,12,46,13,none,0,0,22.0,0.64,83.0,27.9,90.08352
2025-01-08,Johor,176,45,51,10,70,61,83,32,none,0,0,21.0,0.47,81.29,26.83,111.78639
2025-01-09,Johor,125,29,28,11,57,22,72,31,none,0,0,20.0,0.57,75.71,28.03,102.79395
2025-01-10,Johor,39,6,10,2,21,4,26,9,none,0,0,19.0,0.65,75.29,28.23,89.13431
2025-01-11,Johor,148,32,37,12,67,34,82,32,none,0,1,18.0,0.55,74.14,27.17,176.39085
2025-01-12,Johor,273,86,70,26,91,42,187,44,none,0,1,17.0,0.68,77.43,27.37,217.9041
2025-01-13,Johor,69,19,20,5,25,26,38,5,none,0,0,16.0,0.54,77.86,28.6,107.0883
2025-01-14,Johor,95,23,24,7,41,14,49,32,none,0,0,15.0,0.51,76.29,28.33,111.40247
2025-01-15,Johor,169,42,52,9,66,36,108,25,none,0,0,14.0,0.64,76.71,27.33,91.55636
2025-01-16,Johor,95,21,27,1,46,11,74,10,none,0,0,13.0,0.77,80.29,28.07,72.87842
2025-01-17,Johor,39,9,14,1,15,3,31,5,none,0,0,12.0,0.78,80.57,27.17,70.347916
2025-01-18,Johor,209,49,52,8,100,61,110,38,none,0,1,11.0,0.52,81.29,26.57,186.61998
2025-01-19,Johor,212,42,61,11,98,25,159,28,none,0,1,10.0,0.75,85.29,26.2,214.34984
2025-01-20,Johor,109,22,33,5,49,20,72,17,none,0,0,9.0,0.65,81.29,27.03,88.00967
2025-01-21,Johor,135,42,37,6,50,34,76,25,none,0,0,8.0,0.56,86.14,26.23,108.422676
2025-01-22,Johor,125,30,36,10,49,17,82,26,none,0,0,7.0,0.65,90.0,26.1,95.148445
2025-01-23,Johor,103,23,28,4,48,15,60,28,none,0,0,6.0,0.58,86.29,25.63,108.80809
2025-01-24,Johor,37,9,15,1,12,1,26,10,none,0,0,5.0,0.68,84.29,25.9,92.25892
2025-01-25,Johor,139,30,41,6,62,18,90,31,none,0,1,4.0,0.64,83.57,25.03,199.72305
2025-01-26,Johor,195,62,46,13,74,29,132,34,none,0,1,3.0,0.67,80.71,25.4,218.51118
2025-01-27,Johor,73,21,20,2,30,17,45,11,none,0,0,2.0,0.61,76.86,26.1,89.17271
2025-01-28,Johor,75,14,20,4,37,8,50,17,none,0,0,1.0,0.66,73.0,26.07,80.93768
2025-01-29,Johor,0,0,0,0,0,0,0,0,none,1,0,0.0,0.0,69.29,25.57,7.071285
2025-01-30,Johor,115,24,32,5,54,16,69,30,none,1,0,0.0,0.59,57.57,24.87,93.26951
2025-01-31,Johor,66,15,14,8,29,10,52,4,none,0,0,59.0,0.78,58.86,22.67,67.3104
2025-02-01,Johor,114,26,37,3,48,29,62,23,none,0,1,58.0,0.54,62.57,22.37,162.33128
2025-02-02,Johor,152,44,31,10,67,28,91,33,none,0,1,57.0,0.59,58.57,23.23,169.6121
2025-02-03,Johor,95,20,28,7,40,14,63,18,none,0,0,56.0,0.66,52.71,23.97,79.365616
2025-02-04,Johor,159,36,40,9,74,29,108,22,none,0,0,55.0,0.68,55.29,23.6,73.163506
2025-02-05,Johor,108,27,25,6,50,11,79,18,none,0,0,54.0,0.72,63.57,21.93,71.12633
2025-02-06,Johor,197,47,56,18,76,71,87,39,none,0,0,53.0,0.44,74.86,21.57,110.18112
2025-02-07,Johor,56,16,11,4,25,8,44,4,none,0,0,52.0,0.77,77.43,23.53,67.642105
2025-02-08,Johor,190,33,49,14,94,44,105,41,none,0,1,51.0,0.55,76.29,21.77,164.24754
2025-02-09,Johor,185,49,45,15,76,48,97,40,none,0,1,50.0,0.52,82.43,22.5,174.78043
2025-02-10,Johor,87,23,23,4,37,12,62,13,none,0,0,49.0,0.7,83.29,23.97,93.43536
2025-02-11,Johor,220,65,51,14,90,39,125,56,none,0,0,48.0,0.57,83.14,23.23,110.56139
2025-02-12,Johor,118,30,30,3,55,19,70,29,none,0,0,47.0,0.59,85.57,23.13,110.56139
2025-02-13,Johor,129,26,43,9,51,33,65,31,none,0,0,46.0,0.5,84.29,22.9,110.56139
2025-02-14,Johor,108,29,27,4,48,30,54,24,none,0,0,45.0,0.5,81.14,23.53,110.56139
2025-02-15,Johor,205,54,54,13,84,50,118,37,none,0,1,44.0,0.57,82.57,23.33,176.5242
2025-02-16,Johor,325,71,87,16,151,54,210,61,normal_spike,0,1,43.0,0.64,84.43,24.63,201.08904
2025-02-17,Johor,114,25,35,6,48,31,63,20,none,0,0,42.0,0.55,100.57,26.33,113.859924
2025-02-18,Johor,95,17,28,5,45,48,41,6,none,0,0,41.0,0.43,100.71,25.33,117.92801
2025-02-19,Johor,195,45,61,12,77,41,104,50,none,0,0,40.0,0.53,88.71,26.1,112.88237
2025-02-20,Johor,176,50,56,3,67,39,84,53,none,0,0,39.0,0.47,93.57,26.8,118.2237
2025-02-21,Johor,43,6,15,1,21,1,36,6,none,0,0,38.0,0.82,96.29,26.97,61.57365
2025-02-22,Johor,250,62,64,12,112,75,113,62,none,0,1,37.0,0.45,93.71,26.43,186.95894
2025-02-23,Johor,280,60,90,17,113,54,168,58,none,0,1,36.0,0.6,93.0,28.43,200.04413
2025-02-24,Johor,76,22,19,2,33,24,30,22,none,0,0,35.0,0.39,87.0,30.2,115.746796
2025-02-25,Johor,206,51,52,22,81,70,109,27,none,0,0,34.0,0.53,82.29,30.4,110.96392
2025-02-26,Johor,134,30,45,8,51,26,69,39,none,0,0,33.0,0.51,92.0,31.77,111.375015
2025-02-27,Johor,128,24,36,8,60,30,76,22,none,0,0,32.0,0.59,87.0,32.07,105.05158
2025-02-28,Johor,97,23,36,4,34,19,69,9,none,0,0,31.0,0.7,85.86,32.8,88.367516
2025-03-01,Johor,150,41,36,10,63,20,108,22,none,0,1,30.0,0.72,90.57,33.43,217.84872
2025-03-02,Johor,159,48,38,9,64,20,115,24,none,0,1,29.0,0.72,89.86,33.57,217.84872
2025-03-03,Johor,69,15,25,6,23,18,45,6,none,0,0,28.0,0.64,82.29,33.9,86.91408
2025-03-04,Johor,87,21,25,6,35,22,51,14,none,0,0,27.0,0.58,84.43,33.53,100.57372
2025-03-05,Johor,39,4,15,3,17,7,27,5,none,0,0,26.0,0.68,76.14,33.33,82.66368
2025-03-06,Johor,49,10,12,2,25,8,30,11,none,0,0,25.0,0.6,70.14,33.1,88.66717
2025-03-07,Johor,83,15,18,7,43,16,59,8,none,0,0,24.0,0.7,63.57,32.4,75.29523
2025-03-08,Johor,106,31,39,10,26,26,53,27,none,0,1,23.0,0.5,62.14,32.57,170.23741
2025-03-09,Johor,325,70,88,13,154,43,211,71,normal_spike,0,1,22.0,0.65,54.29,31.07,185.00983
2025-03-10,Johor,68,16,21,1,30,9,46,13,none,0,0,21.0,0.67,68.0,32.23,81.43956
2025-03-11,Johor,143,25,48,4,66,34,81,28,none,0,0,20.0,0.56,68.14,31.07,104.30997
2025-03-12,Johor,91,17,36,7,31,17,51,23,none,0,0,19.0,0.55,72.43,30.6,105.15975
2025-03-13,Johor,34,7,12,0,15,3,28,3,none,0,0,18.0,0.8,75.86,30.77,54.612843
2025-03-14,Johor,50,8,9,6,27,3,37,10,none,0,0,17.0,0.73,75.57,29.57,73.30272
2025-03-15,Johor,176,43,39,12,82,28,122,26,none,0,1,16.0,0.69,72.43,29.03,219.36325
2025-03-16,Johor,145,45,35,5,60,27,93,25,none,0,1,15.0,0.64,82.29,28.87,214.39972
2025-03-17,Johor,39,13,10,1,15,5,27,7,none,0,0,14.0,0.68,65.43,28.77,88.18394
2025-03-18,Johor,132,36,29,7,60,33,79,20,none,0,0,13.0,0.59,62.71,27.27,98.91455
2025-03-19,Johor,81,18,28,3,32,11,54,16,none,0,0,12.0,0.66,62.43,26.57,84.19543
2025-03-20,Johor,34,12,5,1,16,3,25,6,none,0,0,11.0,0.71,62.86,25.9,72.411224
2025-03-21,Johor,57,13,18,2,24,11,35,11,none,0,0,10.0,0.6,62.43,24.4,84.95893
2025-03-22,Johor,112,27,29,3,53,19,82,11,none,0,1,9.0,0.73,62.14,23.4,187.31166
2025-03-23,Johor,268,63,70,19,116,46,170,52,none,0,1,8.0,0.63,56.43,22.73,155.0686
2025-03-24,Johor,123,36,26,6,55,24,69,30,none,0,0,7.0,0.56,67.43,24.23,100.93325
2025-03-25,Johor,88,23,22,4,39,26,50,12,none,0,0,6.0,0.56,73.43,22.53,100.36103
2025-03-26,Johor,78,22,19,2,35,13,60,5,none,0,0,5.0,0.76,69.29,21.6,60.91363
2025-03-27,Johor,77,21,25,2,29,11,51,15,none,0,0,4.0,0.65,70.14,21.23,86.54683
2025-03-28,Johor,54,16,13,2,23,3,46,5,none,0,0,3.0,0.84,73.86,19.27,60.02143
2025-03-29,Johor,147,35,43,7,62,43,73,31,none,0,1,2.0,0.49,75.43,18.5,145.32538
2025-03-30,Johor,70,19,17,3,31,10,49,11,none,0,1,1.0,0.69,74.14,18.93,189.04456
2025-03-31,Johor,0,0,0,0,0,0,0,0,none,1,0,0.0,0.0,56.86,18.63,-1.6221945
