date,state,daily,blood_a,blood_b,blood_ab,blood_o,donations_new,donations_regular,donations_irregular,spike_flag,is_holiday,is_weekend,days_to_holiday,regular_ratio,7dayave_regular,30dayave_new
2023-01-01,Johor,346,91,81,18,156,67,210,69,normal_spike,0,1,21.0,0.61,0.0,0.0
2023-01-02,Johor,174,43,38,8,85,39,105,30,none,0,0,20.0,0.6,210.0,67.0
2023-01-03,Johor,88,18,38,0,32,21,48,19,none,0,0,19.0,0.54,157.5,53.0
2023-01-04,Johor,122,28,35,8,51,62,41,19,none,0,0,18.0,0.33,121.0,42.33
2023-01-05,Johor,60,20,15,5,20,8,41,11,none,0,0,17.0,0.67,101.0,47.25
2023-01-06,Johor,23,9,6,1,7,3,16,4,none,0,0,16.0,0.67,89.0,39.4
2023-01-07,Johor,118,23,23,12,60,33,63,22,none,0,1,15.0,0.53,76.83,33.33
2023-01-08,Johor,246,39,78,12,117,43,169,34,none,0,1,14.0,0.68,74.86,33.29
2023-01-09,Johor,114,29,28,13,44,24,73,17,none,0,0,13.0,0.63,69.0,34.5
2023-01-10,Johor,78,22,23,7,26,15,46,17,none,0,0,12.0,0.58,64.43,33.33
2023-01-11,Johor,109,24,30,8,47,42,47,20,none,0,0,11.0,0.43,64.14,31.5
2023-01-12,Johor,59,14,16,1,28,13,37,9,none,0,0,10.0,0.62,65.0,32.45
2023-01-13,Johor,27,5,9,0,13,3,20,4,none,0,0,9.0,0.71,64.43,30.83
2023-01-14,Johor,127,26,41,5,55,36,66,25,none,0,1,8.0,0.52,65.0,28.69
2023-01-15,Johor,276,79,66,8,123,41,180,55,none,0,1,7.0,0.65,65.43,29.21
2023-01-16,Johor,121,28,41,6,46,22,65,34,none,0,0,6.0,0.53,67.0,30.0
2023-01-17,Johor,140,35,38,4,63,34,71,35,none,0,0,5.0,0.5,65.86,29.5
2023-01-18,Johor,103,24,29,5,45,16,65,22,none,0,0,4.0,0.62,69.43,29.76
2023-01-19,Johor,129,30,46,8,45,41,67,21,none,0,0,3.0,0.52,72.0,29.0
2023-01-20,Johor,87,21,20,8,38,22,41,24,none,0,0,2.0,0.47,76.29,29.63
2023-01-21,Johor,90,21,23,5,41,12,70,8,none,0,1,1.0,0.77,79.29,29.25
2023-01-22,Johor,87,19,26,4,38,20,35,32,none,1,1,0.0,0.4,79.86,28.43
2023-01-23,Johor,95,22,28,5,40,17,56,22,none,1,0,0.0,0.58,59.14,28.05
2023-01-24,Johor,115,26,35,5,49,23,63,29,none,0,0,88.0,0.54,57.86,27.57
2023-01-25,Johor,96,22,31,3,40,19,55,22,none,0,0,87.0,0.57,56.71,27.38
2023-01-26,Johor,99,33,22,9,35,16,63,20,none,0,0,86.0,0.63,55.29,27.04
2023-01-27,Johor,0,0,0,0,0,0,0,0,none,0,0,85.0,0.0,54.71,26.62
2023-01-28,Johor,100,26,36,3,35,22,49,29,none,0,1,84.0,0.49,48.86,25.63
2023-01-29,Johor,196,44,51,13,88,41,120,35,none,0,1,83.0,0.61,45.86,25.5
2023-01-30,Johor,76,20,22,1,33,16,52,8,none,0,0,82.0,0.68,58.0,26.03
2023-01-31,Johor,165,39,49,7,70,80,70,15,none,0,0,81.0,0.42,57.43,25.7
2023-02-01,Johor,100,25,27,1,47,28,48,24,none,0,0,80.0,0.48,58.43,26.13
2023-02-02,Johor,63,8,18,3,34,10,43,10,none,0,0,79.0,0.67,57.43,25.77
2023-02-03,Johor,37,11,7,2,17,8,23,6,none,0,0,78.0,0.61,54.57,25.4
2023-02-04,Johor,159,41,42,10,66,40,86,33,none,0,1,77.0,0.54,57.86,23.6
2023-02-05,Johor,299,80,82,15,122,43,196,60,normal_spike,0,1,76.0,0.65,63.14,24.67
2023-02-06,Johor,117,29,33,5,50,21,72,24,none,0,0,75.0,0.61,74.0,26.0
2023-02-07,Johor,99,30,25,7,37,48,36,15,none,0,0,74.0,0.36,76.86,25.6
2023-02-08,Johor,64,15,13,3,33,11,45,8,none,0,0,73.0,0.69,72.0,25.77
2023-02-09,Johor,83,18,19,5,41,20,48,15,none,0,0,72.0,0.57,71.57,25.33
2023-02-10,Johor,19,7,2,0,10,5,13,1,none,0,0,71.0,0.65,72.29,25.5
2023-02-11,Johor,137,45,31,6,55,32,76,29,none,0,1,70.0,0.55,70.86,24.27
2023-02-12,Johor,310,70,76,20,144,74,169,67,normal_spike,0,1,69.0,0.54,69.43,24.9
2023-02-13,Johor,108,28,31,4,45,25,61,22,none,0,0,68.0,0.56,65.57,27.27
2023-02-14,Johor,119,36,32,5,46,29,66,24,none,0,0,67.0,0.55,64.0,26.9
2023-02-15,Johor,100,18,38,6,38,40,47,13,none,0,0,66.0,0.47,68.29,26.5
2023-02-16,Johor,50,11,15,3,21,7,38,5,none,0,0,65.0,0.75,68.57,27.1
2023-02-17,Johor,30,6,10,1,13,3,23,4,none,0,0,64.0,0.74,67.14,26.2
2023-02-18,Johor,228,49,63,9,107,34,142,52,none,0,1,63.0,0.62,68.57,25.77
2023-02-19,Johor,286,57,84,18,127,112,115,59,normal_spike,0,1,62.0,0.4,78.0,25.53
2023-02-20,Johor,124,31,37,6,50,34,64,26,none,0,0,61.0,0.51,70.29,28.53
2023-02-21,Johor,130,35,39,7,49,34,63,33,none,0,0,60.0,0.48,70.71,29.27
2023-02-22,Johor,137,29,35,7,66,33,55,49,none,0,0,59.0,0.4,70.29,29.73
2023-02-23,Johor,131,28,35,8,60,62,40,29,none,0,0,58.0,0.3,71.43,30.27
2023-02-24,Johor,0,0,0,0,0,0,0,0,none,0,0,57.0,0.0,71.71,31.57
2023-02-25,Johor,119,28,32,10,49,26,74,19,none,0,1,56.0,0.62,68.43,30.93
2023-02-26,Johor,350,99,96,18,137,60,235,55,normal_spike,0,1,55.0,0.67,58.71,31.27
2023-02-27,Johor,135,29,45,11,50,73,26,36,none,0,0,54.0,0.19,75.86,33.27
2023-02-28,Johor,102,29,14,8,51,16,70,16,none,0,0,53.0,0.68,70.43,34.97
2023-03-01,Johor,108,31,23,6,48,48,44,16,none,0,0,52.0,0.4,71.43,34.13
2023-03-02,Johor,34,9,12,2,11,3,26,5,none,0,0,51.0,0.74,69.86,35.2
2023-03-03,Johor,26,2,6,2,16,5,17,4,none,0,0,50.0,0.63,67.86,32.63
2023-03-04,Johor,152,33,36,7,76,51,77,24,none,0,1,49.0,0.5,70.29,31.87
2023-03-05,Johor,383,84,103,13,183,58,259,66,normal_spike,0,1,48.0,0.67,70.71,33.23
2023-03-06,Johor,111,21,36,3,51,41,45,25,none,0,0,47.0,0.4,74.14,34.9
2023-03-07,Johor,97,28,31,2,36,24,45,28,none,0,0,46.0,0.46,76.86,34.93
2023-03-08,Johor,90,16,28,5,41,16,56,18,none,0,0,45.0,0.62,73.29,34.3
2023-03-09,Johor,131,29,36,12,54,64,43,24,none,0,0,44.0,0.33,75.0,34.13
2023-03-10,Johor,28,7,4,0,17,6,18,4,none,0,0,43.0,0.62,77.43,34.67
2023-03-11,Johor,223,48,65,18,92,54,130,39,none,0,1,42.0,0.58,77.57,34.5
2023-03-12,Johor,261,50,72,4,135,69,147,45,none,0,1,41.0,0.56,85.14,35.63
2023-03-13,Johor,132,28,37,8,59,76,41,15,none,0,0,40.0,0.31,69.14,37.77
2023-03-14,Johor,147,36,34,6,71,51,82,14,none,0,0,39.0,0.55,68.57,39.23
2023-03-15,Johor,128,36,35,4,53,34,63,31,none,0,0,38.0,0.49,73.86,38.47
2023-03-16,Johor,109,22,33,5,49,52,43,14,none,0,0,37.0,0.39,74.86,38.77
2023-03-17,Johor,71,23,14,6,28,17,43,11,none,0,0,36.0,0.6,74.86,39.53
2023-03-18,Johor,186,53,43,9,81,38,120,28,none,0,1,35.0,0.64,78.43,38.77
2023-03-19,Johor,327,76,80,16,155,49,230,48,normal_spike,0,1,34.0,0.7,77.0,39.8
2023-03-20,Johor,138,40,40,13,45,48,55,35,none,0,0,33.0,0.4,88.86,41.33
2023-03-21,Johor,104,25,31,3,45,8,81,15,none,0,0,32.0,0.77,90.86,41.8
2023-03-22,Johor,134,28,38,10,58,26,91,17,none,0,0,31.0,0.67,90.71,38.33
2023-03-23,Johor,83,26,18,1,38,23,37,23,none,0,0,30.0,0.44,94.71,38.07
2023-03-24,Johor,0,0,0,0,0,0,0,0,none,0,0,29.0,0.0,93.86,37.7
2023-03-25,Johor,26,9,4,0,13,10,14,2,none,0,1,28.0,0.52,87.71,36.6
2023-03-26,Johor,117,38,30,5,44,27,69,21,none,0,1,27.0,0.58,72.57,34.87
2023-03-27,Johor,34,6,10,2,16,5,24,5,none,0,0,26.0,0.69,49.57,35.77
2023-03-28,Johor,44,14,9,2,19,2,33,9,none,0,0,25.0,0.73,45.14,35.07
2023-03-29,Johor,49,15,12,2,20,8,32,9,none,0,0,24.0,0.64,38.29,33.13
2023-03-30,Johor,105,26,34,4,41,37,50,18,none,0,0,23.0,0.47,29.86,30.97
2023-03-31,Johor,13,3,3,4,3,1,9,3,none,0,0,22.0,0.64,31.71,31.67
